word,version_with_order,sense_uid_prime,sentence_prime,heading_uri_prime,heading_label_prime,sense_uid_target,sentence_target,heading_uri_target,heading_label_target,same_heading,hier_distance,same_nbhd,distance_bert_lcsh,distance_elmo_lcsh,distance_bert,distance_elmo,rt,correct_response,log_rt,prior_rt,ambiguity_type,Class,same,subject,trial_index,item
orange,M1_b_M2_b,orange_M1,It was a ripe orange.,http://id.loc.gov/authorities/subjects/sh85095257,Oranges,orange_M2,It was a reddish orange.,http://id.loc.gov/authorities/subjects/sh85095261,Orange (Color),False,inf,0,0.36682963371276855,,0.226773024,0.090670049,1440,False,7.272398393,7.494894462,Polysemy,N,False,u6tgegpyj0,151,28
orange,M2_b_M1_a,orange_M2,It was a reddish orange.,http://id.loc.gov/authorities/subjects/sh85095261,Orange (Color),orange_M1,It was a juicy orange.,http://id.loc.gov/authorities/subjects/sh85095257,Oranges,False,inf,0,0.36682963371276855,,0.273911238,0.052660882,1564,True,7.355001921,7.039160345,Polysemy,N,False,1vz3fdcvtw,119,28
orange,M2_b_M1_b,orange_M2,It was a reddish orange.,http://id.loc.gov/authorities/subjects/sh85095261,Orange (Color),orange_M1,It was a ripe orange.,http://id.loc.gov/authorities/subjects/sh85095257,Oranges,False,inf,0,0.36682963371276855,,0.226773024,0.090670049,1617,True,7.38832786,7.102598757,Polysemy,N,False,mwacu22792,117,28
orange,M2_b_M2_a,orange_M2,It was a reddish orange.,http://id.loc.gov/authorities/subjects/sh85095261,Orange (Color),orange_M2,It was a bright orange.,http://id.loc.gov/authorities/subjects/sh85095261,Orange (Color),True,0.0,1,0.03461951017379761,,0.122556508,0.056215107,1127,True,7.027314514,7.391342004,Polysemy,N,True,v75fv9pagb,203,28
orange,M2_a_M2_b,orange_M2,It was a bright orange.,http://id.loc.gov/authorities/subjects/sh85095261,Orange (Color),orange_M2,It was a reddish orange.,http://id.loc.gov/authorities/subjects/sh85095261,Orange (Color),True,0.0,1,0.03461951017379761,,0.122556508,0.056215107,1321,True,7.186144305,7.494894462,Polysemy,N,True,9fkbaxk3zu,145,28
orange,M1_b_M1_a,orange_M1,It was a ripe orange.,http://id.loc.gov/authorities/subjects/sh85095257,Oranges,orange_M1,It was a juicy orange.,http://id.loc.gov/authorities/subjects/sh85095257,Oranges,True,0.0,1,0.025021672248840332,,0.083839953,0.051941872,577,True,6.357842267,7.039160345,Polysemy,N,True,np8fheoehh,93,28
orange,M2_a_M1_b,orange_M2,It was a bright orange.,http://id.loc.gov/authorities/subjects/sh85095261,Orange (Color),orange_M1,It was a ripe orange.,http://id.loc.gov/authorities/subjects/sh85095257,Oranges,False,inf,0,0.36682963371276855,,0.236619532,0.085292876,1437,True,7.270312886,7.102598757,Polysemy,N,False,xyokc18f4l,187,28
orange,M2_b_M1_b,orange_M2,It was a reddish orange.,http://id.loc.gov/authorities/subjects/sh85095261,Orange (Color),orange_M1,It was a ripe orange.,http://id.loc.gov/authorities/subjects/sh85095257,Oranges,False,inf,0,0.36682963371276855,,0.226773024,0.090670049,1252,True,7.132497552,7.102598757,Polysemy,N,False,nkwr4ou2vr,191,28
orange,M1_a_M2_b,orange_M1,It was a juicy orange.,http://id.loc.gov/authorities/subjects/sh85095257,Oranges,orange_M2,It was a reddish orange.,http://id.loc.gov/authorities/subjects/sh85095261,Orange (Color),False,inf,0,0.36682963371276855,,0.273911238,0.052660882,1334,True,7.195937226,7.494894462,Polysemy,N,False,ael4gl3t9n,221,28
orange,M2_b_M1_a,orange_M2,It was a reddish orange.,http://id.loc.gov/authorities/subjects/sh85095261,Orange (Color),orange_M1,It was a juicy orange.,http://id.loc.gov/authorities/subjects/sh85095257,Oranges,False,inf,0,0.36682963371276855,,0.273911238,0.052660882,1923,False,7.561641746,7.039160345,Polysemy,N,False,gl71hqusr0,227,28
